Id,Name,Type,TcgDate,OcgDate,Artwork
2511,Labrynth Cooclock,Effect Monster,08/25/2022,03/19/2022,https://images.ygoprodeck.com/images/cards_cropped/2511.jpg
10000,Ten Thousand Dragon,Effect Monster,01/30/2020,10/12/2019,https://images.ygoprodeck.com/images/cards_cropped/10000.jpg
27551,Limit Reverse,Trap Card,05/03/2008,02/23/2008,https://images.ygoprodeck.com/images/cards_cropped/27551.jpg
32864,The 13th Grave,Normal Monster,03/08/2002,03/18/1999,https://images.ygoprodeck.com/images/cards_cropped/32864.jpg
35699,SPYRAL Sleeper,Effect Monster,05/04/2017,09/09/2017,https://images.ygoprodeck.com/images/cards_cropped/35699.jpg
39015,Assault Sentinel,Effect Monster,05/02/2019,01/12/2019,https://images.ygoprodeck.com/images/cards_cropped/39015.jpg
41546,D/D Savant Thomas,Pendulum Effect Monster,08/04/2016,04/09/2016,https://images.ygoprodeck.com/images/cards_cropped/41546.jpg
41777,Gem-Enhancement,Trap Card,05/29/2011,04/27/2010,https://images.ygoprodeck.com/images/cards_cropped/41777.jpg
43227,Magnum the Reliever,Fusion Monster,07/27/2023,04/22/2023,https://images.ygoprodeck.com/images/cards_cropped/43227.jpg
44818,Starry Knight Orbitael,Effect Monster,11/04/2021,07/17/2021,https://images.ygoprodeck.com/images/cards_cropped/44818.jpg
50755,Magician's Circle,Trap Card,08/30/2005,07/27/2005,https://images.ygoprodeck.com/images/cards_cropped/50755.jpg
56889,Cross-Dimensional Duel,Trap Card,02/22/2018,11/11/2017,https://images.ygoprodeck.com/images/cards_cropped/56889.jpg
62121,Castle of Dark Illusions,Flip Effect Monster,06/26/2002,03/01/2000,https://images.ygoprodeck.com/images/cards_cropped/62121.jpg
96540,Downbeat,Spell Card,02/01/2018,10/14/2017,https://images.ygoprodeck.com/images/cards_cropped/96540.jpg
98905,Cipher Spectrum,Trap Card,02/09/2017,10/08/2016,https://images.ygoprodeck.com/images/cards_cropped/98905.jpg
102380,Lava Golem,Effect Monster,07/18/2003,05/16/2002,https://images.ygoprodeck.com/images/cards_cropped/102380.jpg
109401,Dark Dimension Soldier,Synchro Monster,02/10/2022,10/16/2021,https://images.ygoprodeck.com/images/cards_cropped/109401.jpg
111280,Dark Magic Expanded,Spell Card,08/04/2016,04/09/2016,https://images.ygoprodeck.com/images/cards_cropped/111280.jpg
114932,Seismic Crasher,Effect Monster,05/16/2007,02/15/2007,https://images.ygoprodeck.com/images/cards_cropped/114932.jpg
122520,Performapal Sky Pupil,Effect Monster,05/04/2017,01/14/2017,https://images.ygoprodeck.com/images/cards_cropped/122520.jpg
123709,Laval Lancelord,Effect Monster,11/10/2011,10/21/2010,https://images.ygoprodeck.com/images/cards_cropped/123709.jpg
126218,Skull Dice,Trap Card,10/15/2002,07/05/2001,https://images.ygoprodeck.com/images/cards_cropped/126218.jpg
128454,Performapal Springoose,Effect Monster,05/14/2015,02/14/2015,https://images.ygoprodeck.com/images/cards_cropped/128454.jpg
131182,Miracle Flipper,Effect Monster,05/03/2008,02/23/2008,https://images.ygoprodeck.com/images/cards_cropped/131182.jpg
132308,Rikka Princess,Effect Monster,08/04/2022,04/23/2022,https://images.ygoprodeck.com/images/cards_cropped/132308.jpg
135598,Key Mouse,Tuner Monster,05/07/2010,02/20/2010,https://images.ygoprodeck.com/images/cards_cropped/135598.jpg
146746,Double Headed Anger Knuckle,Link Monster,07/11/2019,11/23/2018,https://images.ygoprodeck.com/images/cards_cropped/146746.jpg
164710,Mischief of the Gnomes,Trap Card,01/15/2015,09/19/2015,https://images.ygoprodeck.com/images/cards_cropped/164710.jpg
168917,Vylon Hept,Effect Monster,02/03/2012,12/01/2010,https://images.ygoprodeck.com/images/cards_cropped/168917.jpg
176392,Koa'ki Meiru Prototype,Effect Monster,05/07/2010,09/17/2011,https://images.ygoprodeck.com/images/cards_cropped/176392.jpg
176393,Koa'ki Meiru Token,Token,01/01/1990,01/01/1990,https://images.ygoprodeck.com/images/cards_cropped/176393.jpg
191749,Hero Flash!!,Spell Card,05/17/2006,02/16/2006,https://images.ygoprodeck.com/images/cards_cropped/191749.jpg
197042,Exosister Returnia,Trap Card,08/04/2022,04/23/2022,https://images.ygoprodeck.com/images/cards_cropped/197042.jpg
209710,Flick Clown,Effect Monster,02/01/2018,10/14/2017,https://images.ygoprodeck.com/images/cards_cropped/209710.jpg
213326,E - Emergency Call,Spell Card,05/17/2006,02/16/2006,https://images.ygoprodeck.com/images/cards_cropped/213326.jpg
218704,Fenrir,Effect Monster,03/01/2004,04/24/2003,https://images.ygoprodeck.com/images/cards_cropped/218704.jpg
220414,Performapal Turn Trooper,Effect Monster,04/30/2020,03/20/2019,https://images.ygoprodeck.com/images/cards_cropped/220414.jpg
242146,Ballista of Rampart Smashing,Spell Card,11/20/2004,12/08/2005,https://images.ygoprodeck.com/images/cards_cropped/242146.jpg
255998,Rapid Warrior,Effect Monster,05/28/2010,03/20/2010,https://images.ygoprodeck.com/images/cards_cropped/255998.jpg
259314,Inzektor Gauntlet,Trap Card,04/28/2012,02/18/2012,https://images.ygoprodeck.com/images/cards_cropped/259314.jpg
263926,Bonze Alone,Effect Monster,10/24/2019,07/13/2019,https://images.ygoprodeck.com/images/cards_cropped/263926.jpg
269012,Mound of the Bound Creator,Spell Card,04/25/2014,05/17/2014,https://images.ygoprodeck.com/images/cards_cropped/269012.jpg
269510,Fire Prison,Spell Card,02/01/2018,10/14/2017,https://images.ygoprodeck.com/images/cards_cropped/269510.jpg
276357,Shinobird Salvation,Trap Card,02/09/2017,10/08/2016,https://images.ygoprodeck.com/images/cards_cropped/276357.jpg
282886,Mermail Abyssnose,Effect Monster,01/25/2013,11/17/2012,https://images.ygoprodeck.com/images/cards_cropped/282886.jpg
284224,Dual Avatar - Empowered Mitsu-Jaku,Fusion Monster,02/04/2021,10/31/2020,https://images.ygoprodeck.com/images/cards_cropped/284224.jpg
286392,Jet Warrior,Synchro Monster,08/27/2015,12/06/2014,https://images.ygoprodeck.com/images/cards_cropped/286392.jpg
291414,Converging Wills Dragon,Tuner Monster,08/12/2021,04/17/2021,https://images.ygoprodeck.com/images/cards_cropped/291414.jpg
293542,T.G. Warwolf,Effect Monster,04/30/2011,02/11/2011,https://images.ygoprodeck.com/images/cards_cropped/293542.jpg
295517,A Legendary Ocean,Spell Card,06/06/2003,11/29/2001,https://images.ygoprodeck.com/images/cards_cropped/295517.jpg
296499,The Regulation of Tribe,Trap Card,10/20/2002,09/28/2000,https://images.ygoprodeck.com/images/cards_cropped/296499.jpg
303660,Amplifier,Spell Card,06/01/2004,11/20/2003,https://images.ygoprodeck.com/images/cards_cropped/303660.jpg
313513,Spell Gear,Spell Card,05/03/2008,02/23/2008,https://images.ygoprodeck.com/images/cards_cropped/313513.jpg
324483,Ultimate Flame Swordsman,Fusion Monster,01/18/2024,01/01/1990,https://images.ygoprodeck.com/images/cards_cropped/324483.jpg
327051,Magistus Vritra,Spell Card,12/03/2020,09/12/2020,https://images.ygoprodeck.com/images/cards_cropped/327051.jpg
336369,Gusto Squirro,Tuner Monster,02/03/2012,12/01/2010,https://images.ygoprodeck.com/images/cards_cropped/336369.jpg
340002,Performapal Elephammer,Effect Monster,05/14/2015,02/14/2015,https://images.ygoprodeck.com/images/cards_cropped/340002.jpg
359563,Evilswarm Nightmare,XYZ Monster,09/28/2012,10/04/2011,https://images.ygoprodeck.com/images/cards_cropped/359563.jpg
365213,Arrive in Light,Spell Card,08/12/2021,04/17/2021,https://images.ygoprodeck.com/images/cards_cropped/365213.jpg
368382,Dinomist Brachion,Pendulum Effect Monster,01/14/2016,10/17/2015,https://images.ygoprodeck.com/images/cards_cropped/368382.jpg
373085,Firebrand Hymnist,Effect Monster,03/19/2020,12/22/2018,https://images.ygoprodeck.com/images/cards_cropped/373085.jpg
387282,Gagaga Sister,Effect Monster,04/16/2015,02/15/2014,https://images.ygoprodeck.com/images/cards_cropped/387282.jpg
402568,Wattgiraffe,Effect Monster,05/07/2010,02/20/2010,https://images.ygoprodeck.com/images/cards_cropped/402568.jpg
403847,The A. Forces,Spell Card,06/06/2003,09/20/2001,https://images.ygoprodeck.com/images/cards_cropped/403847.jpg
410904,Awakening of the Possessed - Rasenryu,Effect Monster,09/10/2020,08/08/2020,https://images.ygoprodeck.com/images/cards_cropped/410904.jpg
423585,Summoner Monk,Effect Monster,03/31/2009,05/21/2005,https://images.ygoprodeck.com/images/cards_cropped/423585.jpg
423705,Gearfried the Iron Knight,Effect Monster,10/20/2002,12/14/2000,https://images.ygoprodeck.com/images/cards_cropped/423705.jpg
